"nom","reg_code"
"Alaotra Mangoro","MDG33"
"Amoron I Mania","MDG22"
"Analamanga","MDG11"
"Analanjirofo","MDG32"
"Androy","MDG52"
"Anosy","MDG53"
"Atsimo Andrefana","MDG51"
"Atsimo Atsinanana","MDG25"
"Atsinanana","MDG31"
"Betsiboka","MDG43"
"Boeny","MDG41"
"Bongolava","MDG14"
"Diana","MDG71"
"Haute Matsiatra","MDG21"
"Ihorombe","MDG24"
"Itasy","MDG13"
"Melaky","MDG44"
"Menabe","MDG54"
"Sava","MDG72"
"Sofia","MDG42"
"Vakinankaratra","MDG12"
"Vatovavy","MDG23"
"Fitovinany","MDG26"
"Ambatosoa","MDG34"
